所在城市,所在省份,景点样本数,游客样本量,平均评分,平均消费金额,平均访问时长(小时),高频景点,高频季节,高频交通方式,高频游客来源省
安康市,陕西,1,259,4.4,235.17,4.37,瀛湖(259),秋季(71) / 夏季(71) / 春季(61),高铁+大巴(22) / 飞机+大巴(20) / 空调大巴(20),浙江省(14) / 海南省(13) / 西藏自治区(13) / 河南省(13) / 四川省(13)
百色市,广西,1,258,4.36,169.59,4.26,百色起义纪念馆(258),秋季(69) / 夏季(68) / 春季(65),飞机+大巴(27) / 高铁+大巴(26) / 空调大巴(21),湖北省(14) / 海南省(13) / 陕西省(12) / 浙江省(11) / 河南省(11)
衢州市,浙江,1,255,4.76,287.36,4.39,衢州江郎山(255),夏季(68) / 秋季(66) / 冬季(64),高铁+大巴(29) / 空调大巴(24) / 飞机+大巴(16),湖北省(15) / 澳门特别行政区(14) / 江苏省(12) / 浙江省(11) / 重庆市(11)
株洲市,湖南,1,255,4.46,240.57,4.45,炎帝陵(255),夏季(85) / 秋季(62) / 冬季(57),高铁+大巴(27) / 飞机+大巴(26) / 空调大巴(25),云南省(13) / 广西壮族自治区(12) / 福建省(12) / 西藏自治区(11) / 湖南省(11)
辽源市,吉林,1,255,4.39,197.43,4.49,辽源矿工墓(255),春季(74) / 夏季(69) / 冬季(63),空调大巴(25) / 高铁+大巴(21) / 飞机+大巴(21),北京市(13) / 山西省(12) / 河北省(12) / 福建省(11) / 广西壮族自治区(11)
抚顺市,辽宁,1,255,4.02,250.22,4.5,抚顺赫图阿拉城(255),秋季(69) / 冬季(67) / 春季(60),空调大巴(33) / 高铁+大巴(31) / 飞机+大巴(26),甘肃省(17) / 湖北省(13) / 重庆市(12) / 北京市(11) / 山东省(11)
连云港市,江苏,1,254,4.67,264.26,4.32,花果山(254),冬季(71) / 秋季(71) / 夏季(58),飞机+大巴(26) / 空调大巴(22) / 高铁+大巴(21),河南省(15) / 江西省(14) / 天津市(12) / 台湾省(11) / 浙江省(11)
金华市,浙江,1,252,4.52,496.26,4.47,横店影视城(252),冬季(67) / 秋季(64) / 春季(61),高铁+大巴(31) / 空调大巴(26) / 飞机+大巴(25),青海省(15) / 安徽省(12) / 陕西省(12) / 海南省(11) / 香港特别行政区(11)
十堰市,湖北,1,252,4.49,413.55,4.53,武当山(252),秋季(69) / 春季(65) / 夏季(64),空调大巴(29) / 飞机+大巴(26) / 高铁+大巴(26),重庆市(12) / 四川省(11) / 天津市(11) / 河南省(10) / 澳门特别行政区(10)
绥化市,黑龙江,1,251,4.3,236.66,4.29,绥化金龟山庄(251),春季(71) / 夏季(67) / 冬季(58),高铁+大巴(28) / 飞机+大巴(27) / 空调大巴(22),山西省(16) / 香港特别行政区(12) / 江苏省(12) / 宁夏回族自治区(11) / 吉林省(9)
潮州市,广东,1,250,3.98,187.77,4.48,潮州广济桥(250),夏季(71) / 秋季(68) / 春季(61),飞机+大巴(26) / 空调大巴(25) / 高铁+大巴(22),海南省(12) / 湖南省(12) / 江苏省(12) / 浙江省(11) / 广东省(11)
肇庆市,广东,1,248,4.83,248.22,4.4,肇庆星湖(248),冬季(70) / 春季(68) / 夏季(56),高铁+大巴(28) / 空调大巴(27) / 飞机+大巴(13),陕西省(13) / 青海省(11) / 浙江省(10) / 湖北省(10) / 甘肃省(9)
扬州市,江苏,1,247,4.56,324.62,4.54,瘦西湖(247),夏季(72) / 春季(69) / 冬季(55),高铁+大巴(27) / 空调大巴(26) / 飞机+大巴(19),内蒙古自治区(13) / 安徽省(11) / 四川省(11) / 西藏自治区(11) / 云南省(11)
池州市,安徽,1,247,4.51,335.68,4.6,九华山(247),春季(68) / 秋季(66) / 冬季(60),空调大巴(35) / 飞机+大巴(23) / 高铁+大巴(17),天津市(15) / 台湾省(13) / 甘肃省(12) / 江西省(11) / 吉林省(10)
江门市,广东,1,247,4.47,342.7,4.48,开平碉楼(247),秋季(74) / 冬季(59) / 春季(58),空调大巴(30) / 飞机+大巴(26) / 高铁+大巴(22),上海市(13) / 福建省(12) / 北京市(11) / 江西省(11) / 山西省(10)
六安市,安徽,1,246,4.88,306.2,4.43,天堂寨(246),夏季(69) / 春季(62) / 秋季(58),空调大巴(29) / 高铁+大巴(25) / 飞机+大巴(21),湖南省(15) / 贵州省(14) / 四川省(11) / 湖北省(10) / 河北省(10)
陵水县,海南,1,246,4.76,319.7,4.45,分界洲岛(246),春季(70) / 秋季(66) / 冬季(56),飞机+大巴(27) / 高铁+大巴(25) / 空调大巴(19),海南省(12) / 四川省(11) / 江西省(11) / 内蒙古自治区(10) / 山东省(10)
葫芦岛市,辽宁,1,246,4.42,224.14,4.51,葫芦岛兴城古城(246),夏季(66) / 秋季(61) / 春季(60),飞机+大巴(27) / 高铁+大巴(22) / 空调大巴(21),陕西省(13) / 青海省(13) / 湖南省(11) / 江西省(11) / 辽宁省(10)
镇江市,江苏,1,245,4.27,272.42,4.58,茅山(245),冬季(65) / 秋季(62) / 夏季(61),飞机+大巴(26) / 高铁+大巴(25) / 空调大巴(25),吉林省(16) / 香港特别行政区(12) / 河南省(11) / 甘肃省(11) / 湖北省(10)
长治市,山西,1,244,4.83,305.84,4.56,太行山大峡谷(244),秋季(65) / 夏季(65) / 春季(59),高铁+大巴(32) / 飞机+大巴(26) / 空调大巴(16),北京市(14) / 辽宁省(13) / 台湾省(12) / 黑龙江省(11) / 四川省(10)
宜春市,江西,1,244,4.4,249.18,4.33,明月山(244),秋季(68) / 夏季(65) / 春季(59),空调大巴(27) / 飞机+大巴(25) / 高铁+大巴(23),新疆维吾尔自治区(13) / 澳门特别行政区(12) / 甘肃省(11) / 江苏省(11) / 安徽省(11)
绍兴市,浙江,1,244,4.4,179.42,4.44,绍兴鲁迅故里(244),秋季(66) / 冬季(61) / 春季(59),空调大巴(26) / 飞机+大巴(23) / 高铁+大巴(21),江苏省(14) / 西藏自治区(12) / 贵州省(11) / 江西省(11) / 黑龙江省(10)
防城港市,广西,1,244,4.39,242.86,4.52,防城港十万大山(244),秋季(68) / 春季(61) / 夏季(59),空调大巴(25) / 高铁+大巴(21) / 飞机+大巴(19),陕西省(12) / 湖南省(12) / 安徽省(10) / 甘肃省(10) / 天津市(10)
娄底市,湖南,1,244,4.37,251.72,4.34,紫鹊界梯田(244),冬季(66) / 春季(63) / 夏季(59),飞机+大巴(30) / 空调大巴(25) / 高铁+大巴(25),福建省(14) / 安徽省(13) / 甘肃省(11) / 辽宁省(11) / 重庆市(11)
辽阳市,辽宁,1,244,4.3,216.86,4.61,辽阳广佑寺(244),春季(72) / 冬季(63) / 秋季(58),空调大巴(30) / 高铁+大巴(27) / 飞机+大巴(15),广西壮族自治区(13) / 台湾省(13) / 云南省(12) / 宁夏回族自治区(12) / 青海省(11)
德阳市,四川,1,244,4.13,258.99,4.76,三星堆遗址(244),冬季(66) / 春季(64) / 夏季(58),高铁+大巴(34) / 飞机+大巴(20) / 空调大巴(19),浙江省(11) / 四川省(11) / 湖南省(10) / 海南省(10) / 山西省(10)
鹰潭市,江西,1,243,4.69,343.4,4.83,龙虎山(243),春季(68) / 秋季(65) / 夏季(58),飞机+大巴(30) / 高铁+大巴(19) / 空调大巴(16),澳门特别行政区(13) / 上海市(12) / 台湾省(12) / 海南省(11) / 新疆维吾尔自治区(10)
渭南市,陕西,1,243,4.39,326.51,4.37,华山(243),秋季(69) / 夏季(68) / 春季(62),高铁+大巴(26) / 飞机+大巴(19) / 空调大巴(14),浙江省(12) / 湖南省(11) / 上海市(10) / 云南省(10) / 河南省(10)
驻马店市,河南,1,242,4.69,257.81,4.44,嵖岈山(242),秋季(68) / 春季(61) / 冬季(61),空调大巴(28) / 飞机+大巴(26) / 高铁+大巴(22),重庆市(13) / 江西省(13) / 河南省(11) / 台湾省(11) / 吉林省(11)
保亭县,海南,1,242,4.39,263.66,4.27,槟榔谷(242),夏季(71) / 秋季(61) / 春季(59),空调大巴(26) / 高铁+大巴(22) / 飞机+大巴(21),内蒙古自治区(14) / 四川省(12) / 重庆市(11) / 北京市(10) / 福建省(10)
来宾市,广西,1,242,4.37,233.17,4.29,来宾金秀圣堂山(242),冬季(66) / 秋季(65) / 春季(58),飞机+大巴(28) / 空调大巴(24) / 高铁+大巴(19),甘肃省(14) / 安徽省(13) / 广东省(13) / 天津市(12) / 湖南省(12)
钦州市,广西,1,241,4.52,215.82,4.44,钦州三娘湾(241),秋季(65) / 冬季(65) / 春季(64),空调大巴(23) / 高铁+大巴(20) / 飞机+大巴(19),河南省(15) / 内蒙古自治区(12) / 江西省(11) / 浙江省(11) / 西藏自治区(10)
潍坊市,山东,1,241,4.5,160.61,4.41,潍坊青州古城(241),冬季(68) / 夏季(62) / 秋季(56),飞机+大巴(29) / 高铁+大巴(21) / 空调大巴(17),安徽省(13) / 澳门特别行政区(11) / 四川省(11) / 重庆市(11) / 天津市(10)
宁波市,浙江,1,240,4.32,199.08,4.35,宁波天一阁(240),夏季(66) / 秋季(64) / 春季(56),空调大巴(25) / 高铁+大巴(24) / 飞机+大巴(14),福建省(11) / 山东省(10) / 辽宁省(10) / 陕西省(10) / 上海市(10)
四平市,吉林,1,239,4.13,178.04,4.42,四平战役纪念馆(239),夏季(64) / 冬季(63) / 春季(57),空调大巴(31) / 高铁+大巴(27) / 飞机+大巴(22),河南省(12) / 台湾省(10) / 广西壮族自治区(10) / 北京市(10) / 辽宁省(10)
淮南市,安徽,1,238,4.23,218.03,4.16,寿县古城(238),冬季(69) / 夏季(61) / 秋季(54),高铁+大巴(31) / 空调大巴(25) / 飞机+大巴(21),甘肃省(14) / 天津市(12) / 澳门特别行政区(11) / 山东省(11) / 宁夏回族自治区(11)
临沂市,山东,1,237,4.65,251.05,4.54,沂蒙山(237),秋季(63) / 夏季(62) / 春季(60),空调大巴(27) / 飞机+大巴(22) / 高铁+大巴(18),浙江省(14) / 江苏省(12) / 山西省(11) / 陕西省(11) / 天津市(10)
玉林市,广西,1,237,4.6,316.69,4.42,玉林云天文化城(237),夏季(75) / 秋季(58) / 冬季(54),飞机+大巴(25) / 空调大巴(22) / 高铁+大巴(18),江苏省(16) / 内蒙古自治区(12) / 香港特别行政区(11) / 台湾省(11) / 海南省(10)
聊城市,山东,1,237,4.58,185.87,4.43,聊城东昌湖(237),秋季(64) / 冬季(61) / 春季(58),飞机+大巴(31) / 空调大巴(25) / 高铁+大巴(14),山东省(12) / 四川省(12) / 山西省(12) / 西藏自治区(10) / 辽宁省(9)
佛山市,广东,1,236,4.71,250.71,4.5,西樵山(236),秋季(64) / 冬季(61) / 夏季(58),空调大巴(24) / 高铁+大巴(21) / 飞机+大巴(16),西藏自治区(14) / 山东省(10) / 四川省(10) / 甘肃省(10) / 上海市(10)
佳木斯市,黑龙江,1,236,4.59,186.86,4.43,佳木斯同江三江口(236),春季(67) / 秋季(60) / 冬季(59),飞机+大巴(33) / 高铁+大巴(22) / 空调大巴(17),澳门特别行政区(13) / 河北省(13) / 黑龙江省(10) / 福建省(10) / 甘肃省(9)
荆门市,湖北,1,236,4.41,216.62,4.55,荆门明显陵(236),春季(62) / 夏季(61) / 冬季(60),空调大巴(25) / 飞机+大巴(23) / 高铁+大巴(22),重庆市(15) / 湖南省(14) / 西藏自治区(11) / 江西省(11) / 云南省(10)
运城市,山西,1,236,4.31,206.04,4.47,运城盐湖(236),夏季(67) / 秋季(66) / 春季(56),高铁+大巴(27) / 飞机+大巴(25) / 空调大巴(25),云南省(14) / 山西省(11) / 安徽省(11) / 宁夏回族自治区(10) / 广东省(10)
衡阳市,湖南,1,235,4.3,287.5,4.5,南岳衡山(235),秋季(63) / 夏季(62) / 冬季(59),空调大巴(31) / 飞机+大巴(20) / 高铁+大巴(16),陕西省(11) / 湖南省(11) / 辽宁省(10) / 上海市(10) / 福建省(10)
湛江市,广东,1,235,4.29,227.32,4.48,湛江湖光岩(235),冬季(67) / 夏季(60) / 春季(58),高铁+大巴(28) / 空调大巴(20) / 飞机+大巴(18),江苏省(14) / 青海省(12) / 四川省(11) / 湖南省(11) / 云南省(11)
焦作市,河南,1,234,4.73,298.99,4.61,云台山(234),夏季(74) / 春季(60) / 冬季(55),高铁+大巴(31) / 飞机+大巴(25) / 空调大巴(21),四川省(12) / 内蒙古自治区(10) / 吉林省(10) / 澳门特别行政区(9) / 江苏省(9)
邢台市,河北,1,234,4.6,220.08,4.22,邢台大峡谷(234),秋季(68) / 冬季(62) / 春季(61),高铁+大巴(27) / 飞机+大巴(26) / 空调大巴(24),河北省(10) / 内蒙古自治区(10) / 湖北省(10) / 宁夏回族自治区(10) / 河南省(9)
日照市,山东,1,234,4.59,236.24,4.43,日照海滨国家森林公园(234),秋季(72) / 春季(59) / 夏季(54),高铁+大巴(30) / 飞机+大巴(25) / 空调大巴(22),湖南省(14) / 河南省(10) / 辽宁省(10) / 甘肃省(9) / 台湾省(9)
商洛市,陕西,1,234,4.4,271.87,4.24,金丝峡(234),夏季(61) / 秋季(61) / 春季(57),高铁+大巴(26) / 飞机+大巴(25) / 空调大巴(22),安徽省(11) / 河南省(11) / 甘肃省(11) / 广西壮族自治区(11) / 云南省(10)
鹤岗市,黑龙江,1,234,4.3,211.4,4.67,鹤岗萝北名山岛(234),夏季(67) / 秋季(60) / 春季(56),空调大巴(33) / 高铁+大巴(28) / 飞机+大巴(16),四川省(13) / 贵州省(13) / 香港特别行政区(11) / 山西省(10) / 北京市(10)
徐州市,江苏,1,233,4.76,179.45,4.35,徐州云龙湖(233),冬季(68) / 春季(59) / 秋季(57),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(21),甘肃省(14) / 安徽省(13) / 湖南省(10) / 江西省(9) / 宁夏回族自治区(9)
珠海市,广东,1,233,4.75,578.26,4.41,珠海长隆海洋王国(233),春季(70) / 夏季(62) / 秋季(54),高铁+大巴(29) / 飞机+大巴(23) / 空调大巴(22),湖北省(11) / 广西壮族自治区(11) / 内蒙古自治区(11) / 台湾省(10) / 湖南省(10)
枣庄市,山东,1,233,4.68,325.59,4.3,台儿庄古城(233),夏季(62) / 冬季(61) / 春季(61),空调大巴(25) / 高铁+大巴(24) / 飞机+大巴(19),陕西省(14) / 甘肃省(13) / 江苏省(11) / 西藏自治区(11) / 上海市(9)
双鸭山市,黑龙江,1,233,4.67,230.92,4.41,双鸭山七星峰(233),夏季(64) / 春季(57) / 冬季(57),高铁+大巴(29) / 飞机+大巴(23) / 空调大巴(17),上海市(14) / 甘肃省(13) / 浙江省(11) / 湖南省(10) / 重庆市(9)
神农架林区,湖北,1,233,4.49,293.42,4.63,神农架(233),春季(67) / 冬季(56) / 秋季(55),高铁+大巴(28) / 空调大巴(21) / 飞机+大巴(16),江苏省(13) / 宁夏回族自治区(12) / 重庆市(11) / 江西省(11) / 四川省(10)
大庆市,黑龙江,1,233,4.31,163.78,4.27,大庆铁人纪念馆(233),秋季(67) / 冬季(64) / 春季(52),空调大巴(31) / 高铁+大巴(27) / 飞机+大巴(22),湖北省(12) / 贵州省(11) / 内蒙古自治区(11) / 重庆市(10) / 辽宁省(9)
漳州市,福建,1,233,4.29,247.75,4.3,漳州东山岛(233),春季(66) / 冬季(60) / 夏季(56),飞机+大巴(22) / 空调大巴(21) / 高铁+大巴(21),广西壮族自治区(12) / 澳门特别行政区(12) / 山东省(12) / 河南省(11) / 河北省(9)
齐齐哈尔市,黑龙江,1,233,4.29,250.77,4.52,扎龙自然保护区(233),冬季(64) / 夏季(61) / 秋季(56),飞机+大巴(28) / 空调大巴(27) / 高铁+大巴(16),澳门特别行政区(14) / 四川省(13) / 上海市(12) / 台湾省(12) / 河南省(12)
宜宾市,四川,1,232,4.52,263.12,4.51,蜀南竹海(232),秋季(64) / 春季(57) / 冬季(56),高铁+大巴(28) / 空调大巴(24) / 飞机+大巴(18),江西省(12) / 天津市(12) / 香港特别行政区(12) / 陕西省(11) / 宁夏回族自治区(11)
万宁市,海南,1,232,4.47,234.25,4.47,万宁兴隆热带植物园(232),夏季(66) / 秋季(65) / 冬季(53),飞机+大巴(30) / 高铁+大巴(18) / 空调大巴(13),湖南省(12) / 西藏自治区(11) / 江苏省(11) / 宁夏回族自治区(11) / 北京市(10)
伊春市,黑龙江,1,232,4.4,229.1,4.45,伊春五营国家森林公园(232),秋季(65) / 夏季(58) / 冬季(56),空调大巴(24) / 飞机+大巴(24) / 高铁+大巴(24),贵州省(10) / 江苏省(10) / 西藏自治区(10) / 内蒙古自治区(10) / 重庆市(9)
梅州市,广东,1,232,4.38,278.7,4.34,梅州客天下(232),秋季(62) / 春季(62) / 夏季(54),高铁+大巴(26) / 飞机+大巴(25) / 空调大巴(25),陕西省(13) / 台湾省(13) / 广东省(11) / 贵州省(11) / 福建省(10)
文昌市,海南,1,232,4.01,148.67,4.63,文昌东郊椰林(232),夏季(66) / 冬季(61) / 春季(58),飞机+大巴(22) / 高铁+大巴(22) / 空调大巴(21),湖南省(13) / 上海市(12) / 天津市(12) / 香港特别行政区(11) / 河南省(10)
抚州市,江西,1,231,4.65,225.63,4.56,大觉山(231),秋季(64) / 冬季(60) / 夏季(59),高铁+大巴(32) / 飞机+大巴(19) / 空调大巴(18),福建省(13) / 安徽省(13) / 台湾省(12) / 海南省(12) / 江苏省(10)
衡水市,河北,1,231,4.4,187.67,4.64,衡水湖(231),夏季(62) / 春季(62) / 冬季(56),高铁+大巴(27) / 空调大巴(24) / 飞机+大巴(18),河南省(13) / 台湾省(12) / 北京市(10) / 福建省(10) / 山东省(9)
韶关市,广东,1,230,4.68,271.61,4.61,丹霞山(230),秋季(66) / 夏季(58) / 春季(54),高铁+大巴(30) / 飞机+大巴(23) / 空调大巴(22),河南省(13) / 天津市(13) / 安徽省(11) / 四川省(11) / 西藏自治区(11)
琼海市,海南,1,230,4.39,309.85,4.56,琼海博鳌亚洲论坛(230),秋季(63) / 春季(56) / 夏季(56),空调大巴(29) / 高铁+大巴(20) / 飞机+大巴(16),浙江省(12) / 安徽省(12) / 河南省(11) / 贵州省(11) / 广东省(11)
鸡西市,黑龙江,1,230,4.29,212.63,4.61,鸡西兴凯湖(230),夏季(69) / 秋季(59) / 春季(57),飞机+大巴(27) / 高铁+大巴(25) / 空调大巴(24),青海省(14) / 陕西省(13) / 新疆维吾尔自治区(12) / 广西壮族自治区(11) / 江苏省(10)
松原市,吉林,1,230,4.26,210.38,4.67,查干湖(230),春季(63) / 秋季(61) / 夏季(57),空调大巴(24) / 飞机+大巴(22) / 高铁+大巴(20),湖南省(12) / 陕西省(11) / 安徽省(11) / 福建省(11) / 天津市(10)
潜江市,湖北,1,230,4.25,168.11,4.81,潜江曹禺公园(230),夏季(66) / 秋季(64) / 冬季(52),高铁+大巴(22) / 空调大巴(19) / 飞机+大巴(14),陕西省(13) / 广西壮族自治区(11) / 浙江省(11) / 天津市(11) / 宁夏回族自治区(10)
南充市,四川,1,229,4.5,293.69,4.61,阆中古城(229),冬季(65) / 秋季(60) / 夏季(59),高铁+大巴(27) / 空调大巴(23) / 飞机+大巴(19),湖南省(11) / 广东省(11) / 江苏省(10) / 上海市(10) / 湖北省(10)
沧州市,河北,1,229,4.43,285.77,4.5,吴桥杂技大世界(229),秋季(60) / 冬季(57) / 夏季(56),高铁+大巴(24) / 飞机+大巴(17) / 空调大巴(16),天津市(12) / 云南省(11) / 内蒙古自治区(10) / 重庆市(10) / 湖北省(10)
梧州市,广西,1,229,4.4,172.84,4.27,梧州骑楼城(229),春季(64) / 秋季(59) / 夏季(58),空调大巴(30) / 高铁+大巴(25) / 飞机+大巴(18),山东省(13) / 西藏自治区(12) / 澳门特别行政区(11) / 江西省(11) / 山西省(10)
锦州市,辽宁,1,229,4.21,244.15,4.45,锦州笔架山(229),夏季(76) / 冬季(58) / 秋季(50),飞机+大巴(24) / 高铁+大巴(22) / 空调大巴(21),上海市(14) / 吉林省(10) / 新疆维吾尔自治区(10) / 福建省(9) / 山东省(9)
中山市,广东,1,228,4.51,179.15,4.45,中山孙中山故居(228),春季(65) / 夏季(63) / 冬季(54),高铁+大巴(23) / 飞机+大巴(21) / 空调大巴(20),湖南省(13) / 甘肃省(11) / 天津市(10) / 河南省(10) / 广东省(9)
邵阳市,湖南,1,228,4.5,327.88,4.67,崀山(228),秋季(63) / 春季(58) / 夏季(55),高铁+大巴(29) / 空调大巴(29) / 飞机+大巴(23),江西省(13) / 新疆维吾尔自治区(12) / 香港特别行政区(11) / 吉林省(10) / 上海市(9)
贵港市,广西,1,228,4.41,268.92,4.38,贵港桂平西山(228),秋季(61) / 夏季(56) / 春季(56),飞机+大巴(25) / 高铁+大巴(21) / 空调大巴(21),河北省(13) / 青海省(12) / 内蒙古自治区(11) / 黑龙江省(10) / 湖南省(10)
盘锦市,辽宁,1,227,4.79,272.57,4.61,红海滩(227),夏季(61) / 春季(58) / 秋季(56),高铁+大巴(30) / 飞机+大巴(21) / 空调大巴(19),内蒙古自治区(13) / 吉林省(12) / 青海省(12) / 宁夏回族自治区(11) / 澳门特别行政区(9)
恩施州,湖北,1,227,4.71,324.33,4.43,恩施大峡谷(227),春季(62) / 冬季(57) / 秋季(56),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(18),上海市(15) / 吉林省(13) / 湖南省(12) / 广东省(11) / 河北省(11)
芜湖市,安徽,1,227,4.61,461.39,4.48,方特欢乐世界(227),春季(72) / 夏季(56) / 秋季(51),飞机+大巴(36) / 空调大巴(20) / 高铁+大巴(15),广西壮族自治区(13) / 内蒙古自治区(12) / 山西省(12) / 新疆维吾尔自治区(11) / 陕西省(10)
玉溪市,云南,1,226,4.69,179.91,4.43,抚仙湖(226),春季(62) / 冬季(59) / 夏季(57),高铁+大巴(28) / 飞机+大巴(24) / 空调大巴(22),山西省(11) / 吉林省(11) / 云南省(10) / 安徽省(10) / 江西省(9)
三明市,福建,1,226,4.6,253.98,4.35,三明泰宁大金湖(226),夏季(68) / 秋季(57) / 春季(53),空调大巴(24) / 飞机+大巴(22) / 高铁+大巴(15),新疆维吾尔自治区(13) / 广西壮族自治区(12) / 黑龙江省(10) / 澳门特别行政区(10) / 山西省(10)
大兴安岭地区,黑龙江,1,226,4.4,246.87,4.5,大兴安岭漠河北极村(226),春季(59) / 夏季(59) / 秋季(55),飞机+大巴(26) / 空调大巴(17) / 高铁+大巴(15),内蒙古自治区(16) / 湖北省(13) / 浙江省(9) / 北京市(9) / 江苏省(9)
新乡市,河南,1,226,4.32,268.88,4.53,八里沟(226),冬季(59) / 春季(59) / 夏季(57),空调大巴(23) / 高铁+大巴(20) / 飞机+大巴(19),重庆市(14) / 湖南省(13) / 江苏省(12) / 新疆维吾尔自治区(10) / 北京市(9)
天门市,湖北,1,226,4.3,218.92,4.16,天门陆羽故里(226),夏季(64) / 春季(64) / 秋季(49),飞机+大巴(26) / 高铁+大巴(23) / 空调大巴(15),贵州省(12) / 四川省(11) / 西藏自治区(10) / 陕西省(10) / 山西省(9)
凉山州,四川,1,226,4.28,268.26,4.61,泸沽湖(226),冬季(67) / 秋季(57) / 夏季(53),高铁+大巴(34) / 空调大巴(23) / 飞机+大巴(19),青海省(13) / 云南省(12) / 江苏省(11) / 安徽省(11) / 河南省(10)
东莞市,广东,1,226,4.02,180.27,4.45,东莞可园(226),春季(65) / 秋季(58) / 冬季(54),空调大巴(27) / 飞机+大巴(24) / 高铁+大巴(20),宁夏回族自治区(12) / 澳门特别行政区(11) / 福建省(11) / 陕西省(11) / 浙江省(10)
晋城市,山西,1,225,4.6,294.89,4.56,皇城相府(225),秋季(67) / 冬季(58) / 夏季(51),高铁+大巴(25) / 飞机+大巴(24) / 空调大巴(20),天津市(12) / 广西壮族自治区(11) / 安徽省(11) / 甘肃省(10) / 福建省(10)
黄石市,湖北,1,225,4.5,235.56,4.77,黄石国家矿山公园(225),春季(62) / 夏季(59) / 冬季(59),飞机+大巴(26) / 空调大巴(20) / 高铁+大巴(18),湖北省(18) / 北京市(11) / 安徽省(11) / 贵州省(10) / 陕西省(10)
吉安市,江西,1,225,4.47,338.93,4.47,井冈山(225),春季(62) / 秋季(60) / 夏季(53),飞机+大巴(24) / 高铁+大巴(22) / 空调大巴(20),重庆市(12) / 山东省(11) / 浙江省(11) / 辽宁省(10) / 内蒙古自治区(10)
铁岭市,辽宁,1,225,4.32,180.8,4.41,铁岭龙首山(225),冬季(59) / 春季(58) / 夏季(56),飞机+大巴(22) / 空调大巴(21) / 高铁+大巴(20),河南省(12) / 黑龙江省(11) / 宁夏回族自治区(10) / 浙江省(10) / 青海省(10)
湘潭市,湖南,1,224,4.7,233.91,4.43,韶山(224),春季(67) / 秋季(64) / 夏季(53),飞机+大巴(25) / 高铁+大巴(23) / 空调大巴(19),河南省(12) / 海南省(11) / 西藏自治区(10) / 江苏省(10) / 浙江省(9)
荆州市,湖北,1,224,4.48,220.78,4.46,荆州古城(224),冬季(65) / 春季(62) / 夏季(51),飞机+大巴(26) / 高铁+大巴(22) / 空调大巴(20),湖南省(15) / 天津市(11) / 河南省(10) / 浙江省(10) / 台湾省(9)
朝阳市,辽宁,1,224,4.23,213.55,4.64,朝阳凤凰山(224),冬季(66) / 夏季(56) / 春季(51),高铁+大巴(26) / 飞机+大巴(24) / 空调大巴(19),广东省(10) / 江苏省(10) / 台湾省(10) / 贵州省(9) / 江西省(9)
廊坊市,河北,1,224,4.11,256.77,4.66,廊坊天下第一城(224),冬季(64) / 秋季(59) / 春季(54),飞机+大巴(30) / 高铁+大巴(28) / 空调大巴(21),福建省(13) / 江苏省(13) / 澳门特别行政区(12) / 河南省(11) / 台湾省(11)
淄博市,山东,1,222,4.36,228.48,4.82,淄博周村古商城(222),夏季(63) / 春季(58) / 秋季(53),空调大巴(22) / 飞机+大巴(19) / 高铁+大巴(19),山东省(11) / 广西壮族自治区(11) / 西藏自治区(11) / 湖南省(10) / 北京市(10)
随州市,湖北,1,222,4.19,246.72,4.49,随州炎帝故里(222),冬季(68) / 春季(63) / 夏季(46),飞机+大巴(26) / 高铁+大巴(22) / 空调大巴(21),宁夏回族自治区(13) / 海南省(12) / 澳门特别行政区(11) / 上海市(11) / 吉林省(10)
河池市,广西,1,222,4.09,181.18,4.47,河池巴马长寿村(222),春季(66) / 夏季(58) / 秋季(55),高铁+大巴(29) / 空调大巴(27) / 飞机+大巴(24),黑龙江省(12) / 贵州省(10) / 辽宁省(10) / 青海省(9) / 海南省(9)
南宁市,广西,1,221,4.66,187.93,4.33,南宁青秀山(221),冬季(60) / 秋季(57) / 春季(53),高铁+大巴(23) / 飞机+大巴(20) / 空调大巴(18),浙江省(15) / 上海市(14) / 西藏自治区(12) / 河北省(10) / 新疆维吾尔自治区(10)
襄阳市,湖北,1,221,4.61,248.56,4.57,襄阳古隆中(221),秋季(58) / 冬季(57) / 春季(57),高铁+大巴(26) / 飞机+大巴(24) / 空调大巴(20),贵州省(14) / 宁夏回族自治区(11) / 澳门特别行政区(11) / 广东省(11) / 西藏自治区(10)
咸宁市,湖北,1,221,4.33,234.82,4.57,咸宁九宫山(221),夏季(62) / 春季(58) / 秋季(51),空调大巴(24) / 飞机+大巴(21) / 高铁+大巴(18),台湾省(11) / 江苏省(10) / 湖北省(10) / 黑龙江省(10) / 广东省(10)
铜陵市,安徽,1,221,4.21,156.94,4.38,铜陵天井湖(221),夏季(68) / 冬季(60) / 秋季(49),飞机+大巴(22) / 空调大巴(20) / 高铁+大巴(18),上海市(12) / 西藏自治区(11) / 广东省(11) / 陕西省(10) / 青海省(10)
仙桃市,湖北,1,221,4.18,296.06,4.69,仙桃梦里水乡(221),春季(63) / 夏季(57) / 秋季(53),高铁+大巴(25) / 飞机+大巴(20) / 空调大巴(17),广东省(12) / 陕西省(10) / 内蒙古自治区(10) / 甘肃省(9) / 贵州省(9)
