游客记录哈希,游客性别,游客年龄,游客年龄段,游客来源省,景点名称,景点类型,景点等级,所在城市,所在省份,门票价格,访问日期,访问年份,访问月份,访问季度,访问时长(小时),消费金额,门票消费,其他消费,评分,是否跟团,团费,行程天数,主要景点,交通方式,季节,是否节假日,推荐程度,满意度
85c26e2a647f,男,28,26-35,江西省,龟峰,自然风光,5A,上饶市,江西,60,2024-03-31,2024,3,1,5.7,226.41,60,166.41,4.4,否,,,,,春季,是,推荐,满意
f608d09674fb,女,35,26-35,上海市,鸭绿江断桥,红色旅游,4A,丹东市,辽宁,30,2024-03-01,2024,3,1,4.0,433.07,30,403.07,3.8,是,7772.0,6.0,"太白山,槟榔谷,关林",高铁+大巴,春季,否,推荐,满意
fa5a1557670e,女,38,36-45,黑龙江省,承德避暑山庄,历史文化,5A,承德市,河北,130,2023-08-24,2023,8,3,6.8,242.8,130,112.8,4.3,否,,,,,夏季,否,推荐,满意
54b4c5aa4c7c,女,46,46-55,四川省,玉林云天文化城,主题公园,4A,玉林市,广西,150,2024-08-26,2024,8,3,1.7,499.2,150,349.2,4.3,是,7818.0,4.0,"巢湖,长沙世界之窗,中山孙中山故居,八达岭长城,长白山",飞机+大巴,夏季,否,推荐,满意
5959bf872e75,男,45,36-45,澳门特别行政区,河池巴马长寿村,民俗文化,4A,河池市,广西,0,2023-03-28,2023,3,1,3.8,312.59,0,312.59,4.2,否,,,,,春季,否,推荐,满意
119fc33558cd,男,39,36-45,福建省,玉林云天文化城,主题公园,4A,玉林市,广西,150,2024-09-25,2024,9,3,3.4,150.0,150,0.0,4.7,否,,,,,秋季,否,强烈推荐,非常满意
4aed884970e1,女,22,18-25,青海省,伪满皇宫博物院,历史文化,5A,长春市,吉林,70,2023-11-25,2023,11,4,5.0,162.95,70,92.95,4.7,否,,,,,秋季,是,强烈推荐,非常满意
464e66ca024f,男,26,26-35,青海省,常家庄园,历史建筑,4A,晋中市,山西,60,2022-07-17,2022,7,3,7.3,111.81,60,51.81,4.4,是,7747.0,6.0,"九一八历史博物馆,台儿庄古城,王家大院,衡水湖,海口火山口",高铁+大巴,夏季,是,推荐,满意
7e3991c63105,男,42,36-45,湖北省,北海银滩,自然风光,4A,北海市,广西,0,2023-08-26,2023,8,3,1.9,0.0,0,0.0,4.6,是,7946.0,3.0,"白水洋,外滩,咸宁九宫山,紫鹊界梯田,桂林两江四湖",高铁+大巴,夏季,是,强烈推荐,非常满意
3556388871a9,女,30,26-35,西藏自治区,太姥山,自然风光,5A,宁德市,福建,130,2022-06-21,2022,6,2,3.3,488.0,130,358.0,4.9,是,6472.0,3.0,"台儿庄古城,东北虎林园,杭州西溪湿地,三峡大坝",飞机+大巴,夏季,否,强烈推荐,非常满意
6b35809dbdd7,男,42,36-45,陕西省,西安城墙,历史建筑,5A,西安市,陕西,54,2023-10-30,2023,10,4,3.1,54.0,54,0.0,5.0,否,,,,,秋季,是,强烈推荐,非常满意
cccf8b355601,女,53,46-55,江苏省,安源路矿工人运动纪念馆,红色旅游,4A,萍乡市,江西,0,2022-06-12,2022,6,2,1.5,169.33,0,169.33,3.7,否,,,,,夏季,是,推荐,满意
f9f7e30474a4,男,30,26-35,湖北省,长沙世界之窗,主题公园,4A,长沙市,湖南,200,2022-05-05,2022,5,2,2.1,530.12,200,330.12,4.8,否,,,,,春季,否,强烈推荐,非常满意
87b1ea7c9ea5,女,37,36-45,江苏省,外滩,城市景观,4A,上海市,上海,0,2022-09-01,2022,9,3,6.3,124.27,0,124.27,4.7,否,,,,,秋季,否,强烈推荐,非常满意
01952257168d,男,52,46-55,青海省,故宫博物院,历史文化,5A,北京市,北京,60,2023-07-19,2023,7,3,1.3,347.91,60,287.91,4.2,否,,,,,夏季,否,推荐,满意
056d8d4b2e7d,女,68,56+,重庆市,西双版纳热带植物园,植物园,5A,西双版纳州,云南,80,2024-06-13,2024,6,2,3.8,551.88,80,471.88,4.5,否,,,,,夏季,否,强烈推荐,非常满意
fbac24f10023,女,41,36-45,湖北省,紫鹊界梯田,自然风光,4A,娄底市,湖南,68,2022-07-03,2022,7,3,7.9,366.23,68,298.23,4.1,否,,,,,夏季,是,推荐,满意
186580f3b544,男,41,36-45,江西省,白云山,自然风光,5A,广州市,广东,5,2023-04-19,2023,4,2,3.5,291.33,5,286.33,4.5,是,2123.0,2.0,"通天岩,皇城相府,木兰文化生态旅游区,孝感双峰山",飞机+大巴,春季,否,强烈推荐,非常满意
07d43c542ad9,女,48,46-55,江苏省,黑河瑷珲古城,历史文化,4A,黑河市,黑龙江,50,2024-01-10,2024,1,1,1.3,404.65,50,354.65,3.9,否,,,,,冬季,是,推荐,满意
8ad0c7531fc8,男,67,56+,湖北省,伊春五营国家森林公园,自然风光,4A,伊春市,黑龙江,60,2023-09-13,2023,9,3,4.1,240.22,60,180.22,4.9,否,,,,,秋季,否,强烈推荐,非常满意
725ddd72c6ca,男,20,18-25,海南省,上海科技馆,科普教育,5A,上海市,上海,45,2024-05-08,2024,5,2,6.6,48.02,45,3.02,4.2,否,,,,,春季,否,推荐,满意
6a6a0b21945c,女,45,36-45,河南省,龙门石窟,历史文化,5A,洛阳市,河南,90,2024-11-18,2024,11,4,7.1,403.34,90,313.34,4.1,否,,,,,秋季,否,推荐,满意
d23acc8560dd,女,60,56+,浙江省,北京植物园,植物园,4A,北京市,北京,10,2022-12-29,2022,12,4,5.8,315.71,10,305.71,3.9,否,,,,,冬季,否,推荐,满意
9390e7fd3750,女,44,36-45,山西省,西双版纳野象谷,自然风光,4A,西双版纳州,云南,60,2023-08-11,2023,8,3,4.2,60.0,60,0.0,4.2,否,,,,,夏季,否,推荐,满意
dc4f877b359e,女,63,56+,陕西省,潜江曹禺公园,城市公园,4A,潜江市,湖北,0,2023-12-20,2023,12,4,1.9,418.65,0,418.65,4.1,否,,,,,冬季,否,推荐,满意
4daef8d43b99,男,35,26-35,吉林省,恭王府,历史建筑,5A,北京市,北京,40,2024-09-03,2024,9,3,2.5,73.02000000000001,40,33.02,4.8,是,7772.0,6.0,"太白山,槟榔谷,关林",高铁+大巴,秋季,否,强烈推荐,非常满意
a7869da40e46,男,33,26-35,云南省,柳叶湖,自然风光,4A,常德市,湖南,0,2023-02-20,2023,2,1,3.1,57.06,0,57.06,4.5,否,,,,,冬季,是,强烈推荐,非常满意
ae508c852fed,女,66,56+,云南省,漳州东山岛,自然风光,4A,漳州市,福建,60,2023-08-24,2023,8,3,1.7,546.61,60,486.61,4.0,是,7868.0,7.0,"三亚亚龙湾,平遥古城,广州长隆旅游度假区,桃花源",飞机+大巴,夏季,否,推荐,满意
ab3b383068c3,女,53,46-55,香港特别行政区,青岛啤酒博物馆,工业旅游,4A,青岛市,山东,60,2023-05-24,2023,5,2,2.3,60.0,60,0.0,4.2,是,4208.0,1.0,"黑河瑷珲古城,天柱山,唐山南湖,潍坊青州古城,深圳世界之窗",飞机+大巴,春季,否,推荐,满意
f7b383d76b1c,男,26,26-35,河南省,上海海洋水族馆,水族馆,4A,上海市,上海,160,2024-12-13,2024,12,4,3.6,296.79,160,136.79,4.2,是,4653.0,4.0,"伪满皇宫博物院,井冈山,秦始皇兵马俑",高铁+大巴,冬季,否,推荐,满意
f412d54b1703,女,59,56+,湖南省,铜陵天井湖,自然风光,4A,铜陵市,安徽,0,2022-10-14,2022,10,4,2.7,448.48,0,448.48,3.9,否,,,,,秋季,是,推荐,满意
da171a235521,女,21,18-25,云南省,玉林云天文化城,主题公园,4A,玉林市,广西,150,2023-01-29,2023,1,1,4.7,150.0,150,0.0,4.6,是,3780.0,2.0,"亚布力滑雪场,三明泰宁大金湖,青城山,太极洞,中山孙中山故居,九一八历史博物馆",飞机+大巴,冬季,是,强烈推荐,非常满意
abf58c35a429,女,33,26-35,海南省,西双版纳热带植物园,植物园,5A,西双版纳州,云南,80,2024-10-13,2024,10,4,6.4,358.14,80,278.14,4.7,否,,,,,秋季,是,强烈推荐,非常满意
1b78980f3e10,男,23,18-25,江苏省,东湖,自然风光,5A,武汉市,湖北,0,2024-09-04,2024,9,3,2.0,39.64,0,39.64,4.8,否,,,,,秋季,否,强烈推荐,非常满意
80ecbd40923c,女,55,46-55,广西壮族自治区,白山长白山大峡谷,自然风光,4A,白山市,吉林,125,2025-01-22,2025,1,1,2.2,125.0,125,0.0,4.6,否,,,,,冬季,是,强烈推荐,非常满意
427ab0befa76,男,49,46-55,山东省,外滩,城市景观,4A,上海市,上海,0,2022-10-21,2022,10,4,2.5,262.35,0,262.35,4.0,否,,,,,秋季,是,推荐,满意
f3012ac47123,男,28,26-35,宁夏回族自治区,湖南省博物馆,文博院馆,4A,长沙市,湖南,0,2022-08-17,2022,8,3,7.4,0.0,0,0.0,4.7,否,,,,,夏季,否,强烈推荐,非常满意
c78e75a58a77,男,35,26-35,浙江省,三星堆遗址,历史遗址,4A,德阳市,四川,80,2023-08-17,2023,8,3,5.8,399.51,80,319.51,3.9,是,2494.0,6.0,"万宁兴隆热带植物园,来宾金秀圣堂山,周庄古镇,三亚亚龙湾,梧州骑楼城",高铁+大巴,夏季,否,推荐,满意
4de60ae69e60,男,57,56+,辽宁省,桂林漓江,自然风光,5A,桂林市,广西,210,2024-12-23,2024,12,4,8.0,210.0,210,0.0,4.8,否,,,,,冬季,否,强烈推荐,非常满意
2f5ee17234b9,男,47,46-55,新疆维吾尔自治区,四平战役纪念馆,红色旅游,4A,四平市,吉林,0,2025-03-04,2025,3,1,7.3,434.6,0,434.6,3.7,是,2337.0,5.0,"西安钟鼓楼,鸡西兴凯湖,灵山大佛",空调大巴,春季,否,推荐,满意
9272b6719cc2,男,43,36-45,浙江省,武侯祠,历史文化,4A,成都市,四川,60,2023-02-24,2023,2,1,5.5,216.98,60,156.98,4.2,否,,,,,冬季,是,推荐,满意
28db423bb015,男,65,56+,甘肃省,武夷山,自然文化,5A,南平市,福建,140,2024-01-08,2024,1,1,7.0,213.24,140,73.24,4.3,否,,,,,冬季,是,推荐,满意
7c897f3664d4,男,51,46-55,山东省,大连星海广场,城市景观,4A,大连市,辽宁,0,2024-06-14,2024,6,2,1.1,0.0,0,0.0,4.4,否,,,,,夏季,否,推荐,满意
86a06d012531,女,46,46-55,浙江省,雍和宫,宗教文化,4A,北京市,北京,25,2025-04-23,2025,4,2,4.0,302.63,25,277.63,4.4,否,,,,,春季,否,推荐,满意
7cd1ce397a5c,男,70,56+,新疆维吾尔自治区,陕西历史博物馆,文博院馆,4A,西安市,陕西,0,2025-03-17,2025,3,1,5.6,208.07,0,208.07,4.8,否,,,,,春季,否,强烈推荐,非常满意
855e7c05b295,女,39,36-45,甘肃省,仙女湖,自然风光,4A,新余市,江西,90,2023-07-22,2023,7,3,6.4,90.0,90,0.0,3.9,是,4082.0,1.0,"重渡沟,国家博物馆,中国雪乡,涠洲岛,长白山,罗浮山",高铁+大巴,夏季,是,推荐,满意
ea8555d43c11,男,57,56+,辽宁省,西安城墙,历史建筑,5A,西安市,陕西,54,2024-10-28,2024,10,4,3.3,543.28,54,489.28,4.7,否,,,,,秋季,是,强烈推荐,非常满意
d71348bad71f,男,64,56+,天津市,阆中古城,古镇风情,5A,南充市,四川,120,2023-07-26,2023,7,3,2.0,120.0,120,0.0,4.9,否,,,,,夏季,否,强烈推荐,非常满意
63037b4724c0,女,48,46-55,甘肃省,故宫博物院,历史文化,5A,北京市,北京,60,2023-08-26,2023,8,3,5.4,212.7,60,152.7,4.3,否,,,,,夏季,是,推荐,满意
882d7cc9ac36,女,30,26-35,宁夏回族自治区,雁门关,历史文化,5A,忻州市,山西,90,2024-06-26,2024,6,2,3.3,102.14,90,12.14,4.4,否,,,,,夏季,否,推荐,满意
4b3e7290ace5,女,36,36-45,内蒙古自治区,岳阳君山岛,自然风光,5A,岳阳市,湖南,78,2024-01-11,2024,1,1,2.5,78.0,78,0.0,4.4,否,,,,,冬季,是,推荐,满意
2ea31cc7e4ea,女,67,56+,云南省,同里古镇,古镇风情,5A,苏州市,江苏,100,2024-05-29,2024,5,2,4.5,207.09,100,107.09,3.9,否,,,,,春季,否,推荐,满意
f83a85261641,男,19,18-25,福建省,芒砀山,历史文化,5A,商丘市,河南,90,2024-12-29,2024,12,4,4.8,193.59,90,103.59,4.4,是,6374.0,1.0,"北京动物园,天台山,七台河勃利西大圈,趵突泉,安庆振风塔",高铁+大巴,冬季,是,推荐,满意
1785e829c2d5,男,63,56+,陕西省,三河古镇,古镇风情,5A,合肥市,安徽,0,2024-01-01,2024,1,1,4.7,60.99,0,60.99,4.4,是,1354.0,5.0,"青岛海滨风景区,法门寺,九一八历史博物馆,大庆铁人纪念馆",飞机+大巴,冬季,是,推荐,满意
9c74575a312e,男,38,36-45,浙江省,伪满皇宫博物院,历史文化,5A,长春市,吉林,70,2023-09-17,2023,9,3,4.8,279.78,70,209.78,5.0,否,,,,,秋季,是,强烈推荐,非常满意
9460ebb2a907,女,30,26-35,山东省,滇池,自然风光,4A,昆明市,云南,0,2022-09-24,2022,9,3,7.7,283.33,0,283.33,3.7,是,804.0,6.0,"南宁青秀山,天目湖,乌镇,崇圣寺三塔,木兰文化生态旅游区",高铁+大巴,秋季,是,推荐,满意
b508c1540d59,女,61,56+,江苏省,清西陵,历史遗址,5A,保定市,河北,90,2024-05-26,2024,5,2,2.5,90.0,90,0.0,4.9,否,,,,,春季,是,强烈推荐,非常满意
c3c63a4574d7,女,22,18-25,福建省,乌镇,古镇风情,5A,嘉兴市,浙江,150,2024-04-20,2024,4,2,4.3,150.0,150,0.0,4.2,否,,,,,春季,是,推荐,满意
6c8f3a74206e,男,24,18-25,江西省,杭州宋城,主题公园,4A,杭州市,浙江,320,2024-12-16,2024,12,4,1.1,374.92,320,54.92,4.3,否,,,,,冬季,否,推荐,满意
dc9852be5d2b,女,27,26-35,云南省,西塘古镇,古镇风情,5A,嘉兴市,浙江,95,2024-01-08,2024,1,1,3.2,392.2,95,297.2,5.0,是,1188.0,6.0,"延边朝鲜族民俗园,万年冰洞,抚仙湖,悬空寺,三峡大坝",高铁+大巴,冬季,是,强烈推荐,非常满意
c1e0ec96ba5d,男,40,36-45,香港特别行政区,梅里雪山,自然风光,4A,迪庆州,云南,150,2022-11-30,2022,11,4,4.0,150.0,150,0.0,4.7,否,,,,,秋季,否,强烈推荐,非常满意
255f5fb7242b,女,69,56+,天津市,紫鹊界梯田,自然风光,4A,娄底市,湖南,68,2024-04-03,2024,4,2,4.7,340.81,68,272.81,4.1,否,,,,,春季,否,推荐,满意
3b53a23a7473,女,44,36-45,四川省,夫子庙秦淮风光带,历史文化,5A,南京市,江苏,0,2022-11-17,2022,11,4,2.4,464.67,0,464.67,4.6,否,,,,,秋季,否,强烈推荐,非常满意
3b6d96a1a7c6,男,63,56+,香港特别行政区,鸡公山,自然风光,4A,信阳市,河南,60,2025-04-17,2025,4,2,5.8,60.0,60,0.0,4.5,否,,,,,春季,否,强烈推荐,非常满意
fae219dbb783,女,56,56+,湖南省,北京野生动物园,动物园,4A,北京市,北京,150,2023-02-03,2023,2,1,1.9,449.83,150,299.83,4.3,否,,,,,冬季,是,推荐,满意
8901c7cbd445,女,49,46-55,黑龙江省,贵港桂平西山,自然文化,4A,贵港市,广西,80,2025-05-02,2025,5,2,2.0,225.95,80,145.95,4.5,是,2637.0,7.0,"抚顺赫图阿拉城,松花湖,芦芽山,东湖",高铁+大巴,春季,否,强烈推荐,非常满意
1be91b17a98b,女,67,56+,广东省,千岛湖,自然风光,5A,杭州市,浙江,130,2024-09-03,2024,9,3,4.5,130.0,130,0.0,5.0,否,,,,,秋季,否,强烈推荐,非常满意
4b930ad6ae91,男,30,26-35,陕西省,温州楠溪江,自然风光,4A,温州市,浙江,50,2023-02-08,2023,2,1,5.7,164.98000000000002,50,114.98,4.8,否,,,,,冬季,是,强烈推荐,非常满意
514f8c9f9427,男,47,46-55,江苏省,武夷山,自然文化,5A,南平市,福建,140,2024-11-13,2024,11,4,1.9,561.4,140,421.4,4.5,否,,,,,秋季,否,强烈推荐,非常满意
ebc5a7a23617,女,24,18-25,陕西省,上海杜莎夫人蜡像馆,主题展览,4A,上海市,上海,190,2024-09-09,2024,9,3,4.9,190.0,190,0.0,4.3,否,,,,,秋季,否,推荐,满意
a644f1fb73b5,女,34,26-35,上海市,景德镇陶瓷博物馆,文博院馆,4A,景德镇市,江西,0,2022-06-15,2022,6,2,6.5,121.9,0,121.9,4.6,是,6652.0,1.0,"吉林北山,老君山,田子坊,三峡大坝,厦门园林植物园",高铁+大巴,夏季,否,强烈推荐,非常满意
1aaf08b7e5aa,男,32,26-35,山西省,终南山,自然文化,4A,西安市,陕西,65,2022-05-26,2022,5,2,4.0,65.0,65,0.0,4.0,否,,,,,春季,否,推荐,满意
694005a885d8,男,49,46-55,山西省,上饶集中营,红色旅游,4A,上饶市,江西,0,2023-04-18,2023,4,2,5.0,297.93,0,297.93,4.5,否,,,,,春季,否,强烈推荐,非常满意
4432b27e7242,女,41,36-45,北京市,庐山,自然文化,5A,九江市,江西,160,2025-02-27,2025,2,1,6.8,160.0,160,0.0,4.8,否,,,,,冬季,是,强烈推荐,非常满意
63601fc1f237,女,48,46-55,海南省,凤凰古城,古镇风情,4A,湘西州,湖南,148,2023-01-11,2023,1,1,3.6,148.0,148,0.0,3.9,否,,,,,冬季,是,推荐,满意
7be7bafda087,女,32,26-35,台湾省,辽阳广佑寺,宗教文化,4A,辽阳市,辽宁,40,2023-01-18,2023,1,1,3.0,389.82,40,349.82,4.5,是,5194.0,6.0,"威海华夏城,正定隆兴寺,鸡西兴凯湖,龙虎山,绥化金龟山庄,上海欢乐谷",空调大巴,冬季,是,强烈推荐,非常满意
4fd3cdca822b,女,68,56+,海南省,青城山,宗教文化,5A,成都市,四川,90,2024-06-11,2024,6,2,5.0,317.65,90,227.65,4.2,是,5472.0,6.0,"北京野生动物园,大连森林动物园,太姥山,常家庄园,咸宁九宫山,华清宫",飞机+大巴,夏季,否,推荐,满意
851d9708fc49,女,55,46-55,湖南省,武侯祠,历史文化,4A,成都市,四川,60,2024-01-30,2024,1,1,3.9,140.43,60,80.43,4.0,是,1483.0,7.0,"襄阳古隆中,金山岭长城,芒砀山,茂陵,张家界武陵源,青岛啤酒博物馆",高铁+大巴,冬季,是,推荐,满意
731b27f69071,女,70,56+,天津市,南昌八一起义纪念馆,红色旅游,4A,南昌市,江西,0,2023-03-23,2023,3,1,6.3,384.77,0,384.77,3.5,否,,,,,春季,否,推荐,满意
289590630312,男,62,56+,宁夏回族自治区,香格里拉,自然文化,5A,迪庆州,云南,0,2024-03-23,2024,3,1,3.6,202.27,0,202.27,4.5,是,2518.0,7.0,"丽水云和梯田,南昌八一起义纪念馆,锦里,长沙世界之窗,中国科技馆,绍兴鲁迅故里",飞机+大巴,春季,是,强烈推荐,非常满意
28ebc49dceda,女,51,46-55,澳门特别行政区,天台山,自然文化,5A,台州市,浙江,65,2024-10-07,2024,10,4,2.8,107.31,65,42.31,4.9,是,7747.0,6.0,"九一八历史博物馆,台儿庄古城,王家大院,衡水湖,海口火山口",高铁+大巴,秋季,是,强烈推荐,非常满意
bccf6919de3f,女,47,46-55,黑龙江省,通天岩,自然文化,4A,赣州市,江西,60,2024-10-11,2024,10,4,6.4,60.0,60,0.0,4.4,否,,,,,秋季,是,推荐,满意
bd82635154f1,男,70,56+,天津市,沈阳故宫,历史文化,4A,沈阳市,辽宁,60,2025-04-03,2025,4,2,6.0,417.24,60,357.24,3.6,是,2186.0,7.0,"重渡沟,六鼎山,中山陵,沙家浜,抚仙湖,乐山大佛",飞机+大巴,春季,否,推荐,满意
8facf5d9adc7,男,39,36-45,陕西省,黄河风景区,自然风光,4A,郑州市,河南,60,2023-01-06,2023,1,1,3.6,358.69,60,298.69,4.2,是,1023.0,3.0,"雁荡山,湛江湖光岩,北京欢乐谷,西双版纳热带植物园",空调大巴,冬季,是,推荐,满意
876ae4e465fc,男,35,26-35,重庆市,世界公园,主题公园,4A,北京市,北京,100,2024-06-23,2024,6,2,3.3,494.21,100,394.21,4.8,否,,,,,夏季,是,强烈推荐,非常满意
5915e4609502,男,31,26-35,河北省,贺州黄姚古镇,古镇风情,4A,贺州市,广西,100,2024-02-25,2024,2,1,6.3,596.0799999999999,100,496.08,3.8,否,,,,,冬季,是,推荐,满意
2a5b74b8ce9e,女,67,56+,西藏自治区,杜甫草堂,历史文化,4A,成都市,四川,60,2023-07-01,2023,7,3,1.6,202.03,60,142.03,4.5,否,,,,,夏季,是,强烈推荐,非常满意
4726eb6107fb,男,33,26-35,山西省,常州中华恐龙园,主题公园,5A,常州市,江苏,260,2022-06-04,2022,6,2,7.7,323.42,260,63.42,4.2,否,,,,,夏季,是,推荐,满意
931db9be280d,女,48,46-55,四川省,八里河,自然风光,5A,阜阳市,安徽,90,2024-12-25,2024,12,4,5.2,159.75,90,69.75,4.5,是,6633.0,4.0,"太阳岛,泉州开元寺,安庆振风塔,乌镇,白洋淀,唐山南湖",空调大巴,冬季,否,强烈推荐,非常满意
e608afa0fc30,男,24,18-25,广西壮族自治区,柳州龙潭公园,自然风光,4A,柳州市,广西,0,2023-08-07,2023,8,3,3.7,158.85,0,158.85,4.1,否,,,,,夏季,否,推荐,满意
c35ed07c3ed8,女,22,18-25,山西省,圣索菲亚教堂,历史建筑,4A,哈尔滨市,黑龙江,20,2022-12-27,2022,12,4,5.7,20.0,20,0.0,3.9,否,,,,,冬季,否,推荐,满意
20ee5708d2bd,男,25,18-25,重庆市,雾凇岛,自然奇观,4A,吉林市,吉林,60,2023-11-14,2023,11,4,5.5,526.13,60,466.13,4.3,否,,,,,秋季,否,推荐,满意
2f893c95863e,女,58,56+,四川省,朱家角古镇,古镇风情,4A,上海市,上海,60,2024-08-13,2024,8,3,5.6,216.29,60,156.29,3.7,否,,,,,夏季,否,推荐,满意
d7a73203dd2d,男,22,18-25,浙江省,沙家浜,红色旅游,5A,苏州市,江苏,100,2022-05-23,2022,5,2,7.6,100.0,100,0.0,4.9,否,,,,,春季,否,强烈推荐,非常满意
5ad3a462bc3e,男,32,26-35,四川省,运城盐湖,自然风光,4A,运城市,山西,30,2024-04-09,2024,4,2,6.9,30.0,30,0.0,3.9,是,2094.0,6.0,"少林寺,福州鼓山,大连老虎滩海洋公园",飞机+大巴,春季,否,推荐,满意
e47cb69932ed,女,51,46-55,云南省,梅里雪山,自然风光,4A,迪庆州,云南,150,2023-04-22,2023,4,2,5.0,575.37,150,425.37,4.4,否,,,,,春季,是,推荐,满意
d2f4777144f1,女,61,56+,宁夏回族自治区,四姑娘山,自然风光,4A,阿坝州,四川,150,2022-11-02,2022,11,4,3.4,336.21000000000004,150,186.21,4.2,是,3503.0,5.0,"贵港桂平西山,南锣鼓巷,皇城相府",高铁+大巴,秋季,否,推荐,满意
fd90fa6b1aa4,女,19,18-25,广东省,中国雪乡,自然风光,4A,牡丹江市,黑龙江,120,2024-01-13,2024,1,1,1.2,455.38,120,335.38,4.4,是,2612.0,7.0,"茂陵,丽江古城,铁岭龙首山,宽窄巷子",空调大巴,冬季,是,推荐,满意
b744dcf6c5e9,男,66,56+,贵州省,通天岩,自然文化,4A,赣州市,江西,60,2023-06-18,2023,6,2,7.9,85.85,60,25.85,3.9,否,,,,,夏季,是,推荐,满意
9cf6cc858143,男,43,36-45,安徽省,大庆铁人纪念馆,红色旅游,4A,大庆市,黑龙江,0,2023-01-24,2023,1,1,7.2,112.12,0,112.12,3.8,否,,,,,冬季,是,推荐,满意
b1258e7d48a8,女,21,18-25,山东省,大理古城,古镇风情,4A,大理州,云南,0,2025-01-19,2025,1,1,5.8,442.33,0,442.33,4.0,否,,,,,冬季,是,推荐,满意
00e0b755c63e,女,39,36-45,海南省,横店影视城,主题公园,5A,金华市,浙江,310,2024-08-29,2024,8,3,5.8,548.69,310,238.69,4.6,否,,,,,夏季,否,强烈推荐,非常满意
f6fe9c6940ae,男,55,46-55,黑龙江省,乌镇,古镇风情,5A,嘉兴市,浙江,150,2024-11-09,2024,11,4,3.9,308.9,150,158.9,4.4,否,,,,,秋季,是,推荐,满意
b2706d2e5ff8,女,54,46-55,宁夏回族自治区,798艺术区,文化艺术,4A,北京市,北京,0,2022-10-17,2022,10,4,6.7,0.0,0,0.0,4.2,否,,,,,秋季,是,推荐,满意
c4c97c1831fc,女,57,56+,四川省,亳州花戏楼,历史建筑,4A,亳州市,安徽,60,2024-02-12,2024,2,1,5.6,60.0,60,0.0,4.0,否,,,,,冬季,是,推荐,满意
8844b6a711ee,女,27,26-35,四川省,开平碉楼,历史建筑,5A,江门市,广东,180,2023-01-30,2023,1,1,3.1,180.0,180,0.0,4.1,否,,,,,冬季,是,推荐,满意
afd4fb86540d,男,61,56+,山东省,婺源,自然风光,5A,上饶市,江西,210,2022-09-19,2022,9,3,3.0,342.54,210,132.54,4.8,否,,,,,秋季,否,强烈推荐,非常满意
f314e4bf97c4,女,68,56+,江西省,上海杜莎夫人蜡像馆,主题展览,4A,上海市,上海,190,2024-01-21,2024,1,1,2.0,472.41,190,282.41,3.9,否,,,,,冬季,是,推荐,满意
6c7b27496143,女,53,46-55,福建省,聊城东昌湖,自然风光,4A,聊城市,山东,0,2023-02-04,2023,2,1,7.6,93.58,0,93.58,4.4,是,5939.0,1.0,"正定隆兴寺,肇庆星湖,台州神仙居,柳叶湖,上海海洋水族馆",飞机+大巴,冬季,是,推荐,满意
b4f5dffc6e36,男,48,46-55,河北省,太阳岛,自然风光,5A,哈尔滨市,黑龙江,30,2023-01-11,2023,1,1,7.0,113.78,30,83.78,5.0,否,,,,,冬季,是,强烈推荐,非常满意
e5ce57ab4468,女,19,18-25,甘肃省,黑河瑷珲古城,历史文化,4A,黑河市,黑龙江,50,2024-03-06,2024,3,1,4.1,214.44,50,164.44,4.0,是,2401.0,7.0,"天堂寨,上海辰山植物园,三亚亚龙湾,中国雪乡",高铁+大巴,春季,否,推荐,满意
35cef2607bec,女,65,56+,浙江省,岳阳楼,历史建筑,5A,岳阳市,湖南,70,2024-01-12,2024,1,1,6.1,70.0,70,0.0,4.5,是,3542.0,3.0,"鹤岗萝北名山岛,泉州开元寺,齐云山,天下第一泉,杭州西溪湿地,清东陵",飞机+大巴,冬季,是,强烈推荐,非常满意
b9ccda7cc099,女,55,46-55,内蒙古自治区,鸡西兴凯湖,自然风光,4A,鸡西市,黑龙江,45,2024-06-08,2024,6,2,6.0,315.61,45,270.61,4.8,否,,,,,夏季,是,强烈推荐,非常满意
eab38a63f91c,女,45,36-45,广东省,珠海长隆海洋王国,主题公园,5A,珠海市,广东,395,2023-10-24,2023,10,4,5.1,704.99,395,309.99,5.0,是,1759.0,7.0,"清西陵,中国雪乡,白石山",高铁+大巴,秋季,是,强烈推荐,非常满意
9f772706aaa7,女,47,46-55,台湾省,槟榔谷,民俗文化,5A,保亭县,海南,96,2023-07-15,2023,7,3,6.4,580.1700000000001,96,484.17,4.5,否,,,,,夏季,是,强烈推荐,非常满意
9de42a3cd77e,男,65,56+,江西省,恭王府,历史建筑,5A,北京市,北京,40,2024-02-16,2024,2,1,3.6,40.0,40,0.0,4.7,是,1130.0,5.0,"鸡公山,炎帝陵,上海大观园",高铁+大巴,冬季,是,强烈推荐,非常满意
5c6a191ee228,女,46,46-55,黑龙江省,西安钟鼓楼,历史建筑,4A,西安市,陕西,50,2024-07-06,2024,7,3,4.5,466.54,50,416.54,3.9,否,,,,,夏季,是,推荐,满意
df58179eb5d1,男,53,46-55,云南省,海口火山口,自然风光,4A,海口市,海南,54,2024-04-24,2024,4,2,2.5,54.0,54,0.0,4.7,是,4283.0,2.0,"花果山,茅山,梅里雪山",飞机+大巴,春季,否,强烈推荐,非常满意
