景点名称,所在城市,所在省份,景点类型,景点等级,游客样本量,平均评分,平均消费金额,平均门票价格,平均访问时长(小时),跟团占比(%),节假日访问占比(%),高频季节,高频交通方式,高频游客来源省,推荐程度分布,满意度分布,匹配素材标题,匹配素材路径,预览图路径
分界洲岛,陵水县,海南,自然风光,5A,246,4.76,319.7,132.0,4.45,28.86,43.5,春季(70) / 秋季(66),飞机+大巴(27) / 高铁+大巴(25) / 空调大巴(19),海南省(12) / 四川省(11) / 江西省(11) / 内蒙古自治区(10) / 山东省(10),强烈推荐(208) / 推荐(38),非常满意(208) / 满意(38),,,
婺源,上饶市,江西,自然风光,5A,246,4.62,368.12,210.0,4.41,31.3,41.46,夏季(67) / 春季(66),高铁+大巴(32) / 飞机+大巴(24) / 空调大巴(21),新疆维吾尔自治区(12) / 吉林省(12) / 天津市(12) / 海南省(11) / 辽宁省(11),强烈推荐(161) / 推荐(85),非常满意(161) / 满意(85),婺源,D:\wzb\全部131个景点\婺源.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_043.png
惠州西湖,惠州市,广东,自然风光,4A,246,4.45,195.63,0.0,4.44,31.3,43.9,夏季(73) / 春季(69),飞机+大巴(28) / 空调大巴(26) / 高铁+大巴(23),澳门特别行政区(14) / 湖南省(13) / 北京市(11) / 香港特别行政区(11) / 广东省(11),推荐(129) / 强烈推荐(117),满意(129) / 非常满意(117),惠州旅游攻略,D:\wzb\全部131个景点\惠州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_056.png
葫芦岛兴城古城,葫芦岛市,辽宁,历史文化,4A,246,4.42,224.14,50.0,4.51,28.46,43.9,夏季(66) / 秋季(61),飞机+大巴(27) / 高铁+大巴(22) / 空调大巴(21),陕西省(13) / 青海省(13) / 湖南省(11) / 江西省(11) / 辽宁省(10),强烈推荐(125) / 推荐(121),非常满意(125) / 满意(121),,,
三河古镇,合肥市,安徽,古镇风情,5A,245,4.5,179.82,0.0,4.57,26.94,51.84,冬季(65) / 秋季(64),高铁+大巴(27) / 空调大巴(20) / 飞机+大巴(19),香港特别行政区(12) / 江苏省(11) / 辽宁省(11) / 福建省(11) / 黑龙江省(10),强烈推荐(140) / 推荐(105),非常满意(140) / 满意(105),合肥旅游攻略,D:\wzb\全部131个景点\合肥旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_031.png
乔家大院,晋中市,山西,历史建筑,5A,245,4.41,292.12,115.0,4.45,28.98,47.76,春季(70) / 夏季(64),空调大巴(31) / 飞机+大巴(22) / 高铁+大巴(18),广东省(14) / 重庆市(12) / 天津市(11) / 江苏省(11) / 海南省(10),推荐(127) / 强烈推荐(118),满意(127) / 非常满意(118),,,
茅山,镇江市,江苏,宗教文化,5A,245,4.27,272.42,120.0,4.58,31.02,50.2,冬季(65) / 秋季(62),飞机+大巴(26) / 高铁+大巴(25) / 空调大巴(25),吉林省(16) / 香港特别行政区(12) / 河南省(11) / 甘肃省(11) / 湖北省(10),推荐(175) / 强烈推荐(70),满意(175) / 非常满意(70),镇江旅游攻略,D:\wzb\全部131个景点\镇江旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_117.png
上海博物馆,上海市,上海,文博院馆,4A,245,4.21,178.32,0.0,4.35,27.35,48.57,夏季(65) / 冬季(63),飞机+大巴(27) / 高铁+大巴(20) / 空调大巴(20),广西壮族自治区(13) / 上海市(12) / 甘肃省(12) / 山西省(9) / 海南省(9),推荐(174) / 强烈推荐(71),满意(174) / 非常满意(71),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
三江程阳八寨,柳州市,广西,民俗文化,4A,245,4.19,239.47,60.0,4.56,32.24,43.27,春季(68) / 秋季(65),空调大巴(29) / 高铁+大巴(26) / 飞机+大巴(24),河南省(16) / 香港特别行政区(12) / 北京市(11) / 江苏省(11) / 上海市(11),推荐(189) / 强烈推荐(56),满意(189) / 非常满意(56),,,
太行山大峡谷,长治市,山西,自然风光,5A,244,4.83,305.84,140.0,4.56,30.33,49.18,秋季(65) / 夏季(65),高铁+大巴(32) / 飞机+大巴(26) / 空调大巴(16),北京市(14) / 辽宁省(13) / 台湾省(12) / 黑龙江省(11) / 四川省(10),强烈推荐(233) / 推荐(11),非常满意(233) / 满意(11),,,
天涯海角,三亚市,海南,自然风光,4A,244,4.67,258.83,81.0,4.65,28.28,47.13,秋季(66) / 夏季(65),飞机+大巴(26) / 高铁+大巴(23) / 空调大巴(20),四川省(13) / 福建省(12) / 重庆市(12) / 贵州省(9) / 台湾省(9),强烈推荐(178) / 推荐(66),非常满意(178) / 满意(66),三亚旅游攻略,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_003.png
玉龙雪山,丽江市,云南,自然风光,5A,244,4.62,311.45,130.0,4.48,28.69,42.21,夏季(72) / 秋季(71),空调大巴(28) / 飞机+大巴(23) / 高铁+大巴(19),福建省(15) / 澳门特别行政区(13) / 新疆维吾尔自治区(11) / 山西省(11) / 云南省(11),强烈推荐(161) / 推荐(83),非常满意(161) / 满意(83),丽江攻略,D:\wzb\全部131个景点\丽江攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_008.png
石林,昆明市,云南,自然奇观,5A,244,4.42,328.07,130.0,4.47,30.33,47.54,冬季(69) / 春季(65),高铁+大巴(30) / 空调大巴(22) / 飞机+大巴(22),河南省(13) / 青海省(11) / 北京市(11) / 福建省(11) / 澳门特别行政区(10),推荐(131) / 强烈推荐(113),满意(131) / 非常满意(113),昆明,D:\wzb\全部131个景点\昆明.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_066.png
明月山,宜春市,江西,自然风光,5A,244,4.4,249.18,95.0,4.33,30.74,41.8,秋季(68) / 夏季(65),空调大巴(27) / 飞机+大巴(25) / 高铁+大巴(23),新疆维吾尔自治区(13) / 澳门特别行政区(12) / 甘肃省(11) / 江苏省(11) / 安徽省(11),推荐(128) / 强烈推荐(116),满意(128) / 非常满意(116),,,
绍兴鲁迅故里,绍兴市,浙江,历史文化,5A,244,4.4,179.42,0.0,4.44,28.69,49.59,秋季(66) / 冬季(61),空调大巴(26) / 飞机+大巴(23) / 高铁+大巴(21),江苏省(14) / 西藏自治区(12) / 贵州省(11) / 江西省(11) / 黑龙江省(10),推荐(132) / 强烈推荐(112),满意(132) / 非常满意(112),绍兴,D:\wzb\全部131个景点\绍兴.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_098.png
防城港十万大山,防城港市,广西,自然风光,4A,244,4.39,242.86,60.0,4.52,26.64,45.9,秋季(68) / 春季(61),空调大巴(25) / 高铁+大巴(21) / 飞机+大巴(19),陕西省(12) / 湖南省(12) / 安徽省(10) / 甘肃省(10) / 天津市(10),推荐(136) / 强烈推荐(108),满意(136) / 非常满意(108),,,
紫鹊界梯田,娄底市,湖南,自然风光,4A,244,4.37,251.72,68.0,4.34,32.79,43.85,冬季(66) / 春季(63),飞机+大巴(30) / 空调大巴(25) / 高铁+大巴(25),福建省(14) / 安徽省(13) / 甘肃省(11) / 辽宁省(11) / 重庆市(11),推荐(143) / 强烈推荐(101),满意(143) / 非常满意(101),,,
辽阳广佑寺,辽阳市,辽宁,宗教文化,4A,244,4.3,216.86,40.0,4.61,29.51,48.77,春季(72) / 冬季(63),空调大巴(30) / 高铁+大巴(27) / 飞机+大巴(15),广西壮族自治区(13) / 台湾省(13) / 云南省(12) / 宁夏回族自治区(12) / 青海省(11),推荐(156) / 强烈推荐(88),满意(156) / 非常满意(88),,,
大明湖,济南市,山东,自然风光,4A,244,4.27,184.2,30.0,4.44,30.74,44.67,秋季(78) / 冬季(57),空调大巴(29) / 飞机+大巴(24) / 高铁+大巴(22),陕西省(12) / 内蒙古自治区(12) / 贵州省(11) / 四川省(11) / 江西省(10),推荐(174) / 强烈推荐(70),满意(174) / 非常满意(70),济南旅游攻略,D:\wzb\全部131个景点\济南旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_081.png
798艺术区,北京市,北京,文化艺术,4A,244,4.16,167.92,0.0,4.66,29.1,48.77,春季(70) / 秋季(65),空调大巴(27) / 高铁+大巴(24) / 飞机+大巴(20),安徽省(15) / 山东省(14) / 海南省(10) / 香港特别行政区(10) / 内蒙古自治区(9),推荐(188) / 强烈推荐(56),满意(188) / 非常满意(56),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
三星堆遗址,德阳市,四川,历史遗址,4A,244,4.13,258.99,80.0,4.76,29.92,45.49,冬季(66) / 春季(64),高铁+大巴(34) / 飞机+大巴(20) / 空调大巴(19),浙江省(11) / 四川省(11) / 湖南省(10) / 海南省(10) / 山西省(10),推荐(196) / 强烈推荐(48),满意(196) / 非常满意(48),,,
上海环球金融中心,上海市,上海,城市地标,4A,244,4.09,345.1,180.0,4.49,29.51,46.31,春季(66) / 秋季(61),空调大巴(24) / 飞机+大巴(24) / 高铁+大巴(24),西藏自治区(13) / 山西省(13) / 湖北省(11) / 青海省(11) / 吉林省(10),推荐(211) / 强烈推荐(33),满意(211) / 非常满意(33),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
沈阳故宫,沈阳市,辽宁,历史文化,4A,244,4.09,242.04,60.0,4.59,30.33,42.21,秋季(73) / 夏季(63),高铁+大巴(28) / 飞机+大巴(24) / 空调大巴(22),云南省(14) / 陕西省(14) / 江西省(12) / 江苏省(12) / 四川省(10),推荐(205) / 强烈推荐(39),满意(205) / 非常满意(39),故宫,D:\wzb\全部131个景点\故宫.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_060.png
齐云山,黄山市,安徽,自然文化,4A,244,4.09,244.14,75.0,4.63,32.38,48.77,夏季(65) / 秋季(64),飞机+大巴(30) / 空调大巴(29) / 高铁+大巴(20),西藏自治区(14) / 北京市(12) / 安徽省(12) / 福建省(11) / 广东省(10),推荐(209) / 强烈推荐(35),满意(209) / 非常满意(35),黄山,D:\wzb\全部131个景点\黄山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_133.png
沙面岛,广州市,广东,历史文化,4A,244,4.01,176.0,0.0,4.68,34.43,51.64,夏季(69) / 冬季(62),高铁+大巴(33) / 空调大巴(28) / 飞机+大巴(23),浙江省(15) / 河南省(15) / 福建省(12) / 安徽省(11) / 上海市(10),推荐(225) / 强烈推荐(19),满意(225) / 非常满意(19),广州旅游攻略,D:\wzb\全部131个景点\广州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_051.png
宽窄巷子,成都市,四川,历史文化,3A,244,3.91,173.55,0.0,4.59,30.74,44.26,夏季(75) / 秋季(68),空调大巴(28) / 飞机+大巴(26) / 高铁+大巴(21),宁夏回族自治区(14) / 江苏省(14) / 河南省(11) / 山西省(10) / 云南省(10),推荐(235) / 一般(9),满意(235) / 一般(9),成都攻略,D:\wzb\全部131个景点\成都攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_057.png
稻城亚丁,甘孜州,四川,自然风光,5A,243,4.8,321.06,146.0,4.66,34.98,50.21,夏季(67) / 春季(65),高铁+大巴(31) / 飞机+大巴(28) / 空调大巴(26),海南省(14) / 云南省(12) / 西藏自治区(11) / 安徽省(11) / 天津市(10),强烈推荐(224) / 推荐(19),非常满意(224) / 满意(19),稻城亚丁,D:\wzb\全部131个景点\稻城亚丁.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_096.png
普达措国家公园,迪庆州,云南,自然风光,5A,243,4.77,324.06,138.0,4.66,26.34,50.21,冬季(71) / 春季(67),高铁+大巴(25) / 飞机+大巴(20) / 空调大巴(19),贵州省(14) / 青海省(13) / 广东省(12) / 北京市(12) / 浙江省(12),强烈推荐(212) / 推荐(31),非常满意(212) / 满意(31),,,
西柏坡,石家庄市,河北,红色旅游,5A,243,4.76,192.96,0.0,4.4,32.1,47.74,夏季(66) / 春季(64),高铁+大巴(33) / 空调大巴(27) / 飞机+大巴(18),河北省(13) / 海南省(11) / 上海市(11) / 陕西省(11) / 西藏自治区(10),强烈推荐(205) / 推荐(38),非常满意(205) / 满意(38),,,
千岛湖,杭州市,浙江,自然风光,5A,243,4.71,300.14,130.0,4.34,30.45,44.44,春季(75) / 冬季(59),飞机+大巴(28) / 空调大巴(26) / 高铁+大巴(20),湖南省(13) / 黑龙江省(12) / 湖北省(11) / 山东省(11) / 四川省(10),强烈推荐(196) / 推荐(47),非常满意(196) / 满意(47),千岛湖,D:\wzb\全部131个景点\千岛湖.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_022.png
龙虎山,鹰潭市,江西,自然文化,5A,243,4.69,343.4,165.0,4.83,26.75,44.86,春季(68) / 秋季(65),飞机+大巴(30) / 高铁+大巴(19) / 空调大巴(16),澳门特别行政区(13) / 上海市(12) / 台湾省(12) / 海南省(11) / 新疆维吾尔自治区(10),强烈推荐(186) / 推荐(57),非常满意(186) / 满意(57),,,
华山,渭南市,陕西,自然风光,5A,243,4.39,326.51,160.0,4.37,24.28,46.91,秋季(69) / 夏季(68),高铁+大巴(26) / 飞机+大巴(19) / 空调大巴(14),浙江省(12) / 湖南省(11) / 上海市(10) / 云南省(10) / 河南省(10),推荐(140) / 强烈推荐(103),满意(140) / 非常满意(103),华山,D:\wzb\全部131个景点\华山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_023.png
芙蓉镇,湘西州,湖南,古镇风情,4A,243,4.29,247.48,75.0,4.57,27.98,45.68,春季(67) / 夏季(67),空调大巴(26) / 高铁+大巴(25) / 飞机+大巴(17),海南省(13) / 广东省(13) / 香港特别行政区(12) / 福建省(12) / 甘肃省(10),推荐(162) / 强烈推荐(81),满意(162) / 非常满意(81),,,
三峡大坝,宜昌市,湖北,水利工程,5A,242,4.76,284.21,105.0,4.54,31.4,48.35,冬季(71) / 夏季(64),高铁+大巴(28) / 飞机+大巴(26) / 空调大巴(22),河南省(13) / 广西壮族自治区(11) / 内蒙古自治区(11) / 江苏省(11) / 西藏自治区(10),强烈推荐(212) / 推荐(30),非常满意(212) / 满意(30),,,
嵖岈山,驻马店市,河南,自然风光,5A,242,4.69,257.81,70.0,4.44,31.4,42.98,秋季(68) / 春季(61),空调大巴(28) / 飞机+大巴(26) / 高铁+大巴(22),重庆市(13) / 江西省(13) / 河南省(11) / 台湾省(11) / 吉林省(11),强烈推荐(187) / 推荐(55),非常满意(187) / 满意(55),,,
老君山,洛阳市,河南,自然文化,5A,242,4.67,288.44,100.0,4.64,28.51,47.11,冬季(64) / 春季(61),高铁+大巴(27) / 空调大巴(22) / 飞机+大巴(20),广东省(13) / 辽宁省(12) / 陕西省(11) / 内蒙古自治区(10) / 海南省(10),强烈推荐(174) / 推荐(68),非常满意(174) / 满意(68),洛阳,D:\wzb\全部131个景点\洛阳.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_080.png
岳阳楼,岳阳市,湖南,历史建筑,5A,242,4.62,223.12,70.0,4.42,23.14,42.98,夏季(73) / 春季(64),高铁+大巴(24) / 飞机+大巴(18) / 空调大巴(14),福建省(12) / 内蒙古自治区(12) / 山西省(11) / 安徽省(10) / 浙江省(9),强烈推荐(170) / 推荐(72),非常满意(170) / 满意(72),,,
东江湖,郴州市,湖南,自然风光,5A,242,4.59,248.76,80.0,4.5,32.64,44.21,秋季(67) / 冬季(62),高铁+大巴(32) / 飞机+大巴(27) / 空调大巴(20),上海市(12) / 西藏自治区(11) / 广东省(10) / 青海省(10) / 吉林省(9),强烈推荐(154) / 推荐(88),非常满意(154) / 满意(88),,,
莫干山,湖州市,浙江,自然风光,4A,242,4.58,268.67,80.0,4.62,34.71,46.28,春季(66) / 夏季(63),高铁+大巴(30) / 空调大巴(29) / 飞机+大巴(25),陕西省(10) / 西藏自治区(10) / 新疆维吾尔自治区(10) / 上海市(9) / 吉林省(9),强烈推荐(151) / 推荐(91),非常满意(151) / 满意(91),,,
槟榔谷,保亭县,海南,民俗文化,5A,242,4.39,263.66,96.0,4.27,28.51,46.28,夏季(71) / 秋季(61),空调大巴(26) / 高铁+大巴(22) / 飞机+大巴(21),内蒙古自治区(14) / 四川省(12) / 重庆市(11) / 北京市(10) / 福建省(10),推荐(137) / 强烈推荐(105),满意(137) / 非常满意(105),,,
中国科技馆,北京市,北京,科普教育,4A,242,4.37,201.32,30.0,4.42,28.51,54.96,秋季(70) / 夏季(64),空调大巴(27) / 飞机+大巴(26) / 高铁+大巴(16),山西省(15) / 内蒙古自治区(12) / 香港特别行政区(11) / 辽宁省(11) / 贵州省(10),推荐(147) / 强烈推荐(95),满意(147) / 非常满意(95),中国,D:\wzb\全部131个景点\中国.jpg,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_006.jpg
来宾金秀圣堂山,来宾市,广西,自然风光,4A,242,4.37,233.17,65.0,4.29,29.34,47.93,冬季(66) / 秋季(65),飞机+大巴(28) / 空调大巴(24) / 高铁+大巴(19),甘肃省(14) / 安徽省(13) / 广东省(13) / 天津市(12) / 湖南省(12),推荐(150) / 强烈推荐(92),满意(150) / 非常满意(92),,,
西双版纳野象谷,西双版纳州,云南,自然风光,4A,242,4.29,234.11,60.0,4.57,27.69,45.45,夏季(67) / 冬季(64),高铁+大巴(24) / 飞机+大巴(24) / 空调大巴(19),广东省(12) / 甘肃省(12) / 台湾省(10) / 湖南省(10) / 江西省(10),推荐(165) / 强烈推荐(77),满意(165) / 非常满意(77),西双版纳,D:\wzb\全部131个景点\西双版纳.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_106.png
海螺沟,甘孜州,四川,自然风光,5A,241,4.88,282.52,90.0,4.45,36.1,43.98,夏季(71) / 春季(66),飞机+大巴(38) / 高铁+大巴(25) / 空调大巴(24),河南省(14) / 山东省(12) / 台湾省(12) / 浙江省(11) / 广东省(10),强烈推荐(241),非常满意(241),海螺沟,D:\wzb\全部131个景点\海螺沟.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_084.png
钦州三娘湾,钦州市,广西,自然风光,4A,241,4.52,215.82,40.0,4.44,25.73,48.55,秋季(65) / 冬季(65),空调大巴(23) / 高铁+大巴(20) / 飞机+大巴(19),河南省(15) / 内蒙古自治区(12) / 江西省(11) / 浙江省(11) / 西藏自治区(10),强烈推荐(142) / 推荐(99),非常满意(142) / 满意(99),,,
潍坊青州古城,潍坊市,山东,古镇风情,5A,241,4.5,160.61,0.0,4.41,27.8,43.57,冬季(68) / 夏季(62),飞机+大巴(29) / 高铁+大巴(21) / 空调大巴(17),安徽省(13) / 澳门特别行政区(11) / 四川省(11) / 重庆市(11) / 天津市(10),强烈推荐(131) / 推荐(110),非常满意(131) / 满意(110),,,
平遥古城,晋中市,山西,古镇风情,5A,241,4.38,279.53,125.0,4.54,29.46,48.96,夏季(68) / 春季(61),高铁+大巴(29) / 飞机+大巴(22) / 空调大巴(20),四川省(15) / 福建省(12) / 重庆市(11) / 安徽省(10) / 广东省(10),推荐(139) / 强烈推荐(102),满意(139) / 非常满意(102),平遥,D:\wzb\全部131个景点\平遥.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_050.png
唐山南湖,唐山市,河北,城市公园,4A,241,4.31,177.34,0.0,4.71,34.02,40.25,秋季(70) / 冬季(58),高铁+大巴(29) / 飞机+大巴(28) / 空调大巴(25),江苏省(14) / 广东省(12) / 台湾省(12) / 宁夏回族自治区(11) / 山西省(11),推荐(150) / 强烈推荐(91),满意(150) / 非常满意(91),,,
圣索菲亚教堂,哈尔滨市,黑龙江,历史建筑,4A,241,4.2,188.4,20.0,4.52,28.63,55.19,夏季(66) / 春季(61),空调大巴(27) / 高铁+大巴(24) / 飞机+大巴(18),河南省(13) / 福建省(11) / 河北省(10) / 贵州省(10) / 山东省(9),推荐(178) / 强烈推荐(63),满意(178) / 非常满意(63),哈尔滨旅游攻略,D:\wzb\全部131个景点\哈尔滨旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_035.png
泉州开元寺,泉州市,福建,宗教文化,4A,241,4.06,189.93,0.0,4.67,31.95,47.3,春季(64) / 冬季(62),飞机+大巴(28) / 高铁+大巴(26) / 空调大巴(23),河南省(13) / 云南省(11) / 湖北省(11) / 浙江省(10) / 四川省(10),推荐(211) / 强烈推荐(30),满意(211) / 非常满意(30),,,
木兰文化生态旅游区,武汉市,湖北,自然文化,5A,240,4.68,253.62,80.0,4.5,32.92,47.08,冬季(64) / 秋季(60),飞机+大巴(32) / 高铁+大巴(32) / 空调大巴(15),甘肃省(12) / 辽宁省(12) / 北京市(11) / 安徽省(11) / 江西省(11),强烈推荐(176) / 推荐(64),非常满意(176) / 满意(64),武汉,D:\wzb\全部131个景点\武汉.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_076.png
桂林两江四湖,桂林市,广西,自然风光,5A,240,4.58,356.09,190.0,4.52,27.5,47.08,春季(67) / 冬季(64),空调大巴(27) / 高铁+大巴(20) / 飞机+大巴(19),澳门特别行政区(15) / 安徽省(12) / 四川省(11) / 河北省(11) / 浙江省(10),强烈推荐(151) / 推荐(89),非常满意(151) / 满意(89),桂林旅游攻略,D:\wzb\全部131个景点\桂林旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_072.png
嘉兴南湖,嘉兴市,浙江,红色旅游,5A,240,4.57,230.16,60.0,4.55,27.5,49.17,冬季(65) / 夏季(64),高铁+大巴(24) / 飞机+大巴(23) / 空调大巴(19),福建省(14) / 香港特别行政区(14) / 新疆维吾尔自治区(12) / 河南省(12) / 广西壮族自治区(12),强烈推荐(151) / 推荐(89),非常满意(151) / 满意(89),,,
金鸡湖,苏州市,江苏,城市景观,5A,240,4.48,149.49,0.0,4.37,32.5,48.75,秋季(66) / 冬季(64),飞机+大巴(36) / 高铁+大巴(21) / 空调大巴(21),福建省(11) / 江西省(11) / 香港特别行政区(11) / 广东省(10) / 河南省(10),强烈推荐(124) / 推荐(116),非常满意(124) / 满意(116),苏州旅游攻略,D:\wzb\全部131个景点\苏州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_101.png
少林寺,郑州市,河南,宗教文化,5A,240,4.43,271.28,100.0,4.53,30.0,40.83,夏季(67) / 秋季(59),空调大巴(29) / 高铁+大巴(22) / 飞机+大巴(21),内蒙古自治区(12) / 北京市(11) / 澳门特别行政区(10) / 香港特别行政区(10) / 黑龙江省(10),推荐(124) / 强烈推荐(116),满意(124) / 非常满意(116),,,
同里古镇,苏州市,江苏,古镇风情,5A,240,4.34,270.6,100.0,4.68,30.0,48.75,冬季(69) / 春季(61),飞机+大巴(26) / 空调大巴(25) / 高铁+大巴(21),辽宁省(12) / 安徽省(12) / 福建省(11) / 河南省(11) / 上海市(11),推荐(148) / 强烈推荐(92),满意(148) / 非常满意(92),同里旅游攻略,D:\wzb\全部131个景点\同里旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_032.png
宁波天一阁,宁波市,浙江,历史建筑,4A,240,4.32,199.08,30.0,4.35,26.25,48.33,夏季(66) / 秋季(64),空调大巴(25) / 高铁+大巴(24) / 飞机+大巴(14),福建省(11) / 山东省(10) / 辽宁省(10) / 陕西省(10) / 上海市(10),推荐(146) / 强烈推荐(94),满意(146) / 非常满意(94),宁波攻略,D:\wzb\全部131个景点\宁波攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_044.png
厦门园林植物园,厦门市,福建,植物园,4A,240,4.2,212.61,40.0,4.55,27.08,49.58,冬季(63) / 春季(62),飞机+大巴(24) / 高铁+大巴(23) / 空调大巴(18),江苏省(13) / 海南省(12) / 河南省(11) / 浙江省(11) / 上海市(11),推荐(185) / 强烈推荐(55),满意(185) / 非常满意(55),厦门旅游攻略,D:\wzb\全部131个景点\厦门旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_028.png
武侯祠,成都市,四川,历史文化,4A,240,4.11,247.72,60.0,4.55,27.5,48.75,冬季(65) / 春季(62),飞机+大巴(28) / 空调大巴(24) / 高铁+大巴(14),贵州省(12) / 江苏省(11) / 海南省(10) / 香港特别行政区(10) / 湖南省(10),推荐(204) / 强烈推荐(36),满意(204) / 非常满意(36),成都攻略,D:\wzb\全部131个景点\成都攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_057.png
清东陵,唐山市,河北,历史遗址,5A,239,4.59,272.83,108.0,4.45,28.03,43.93,秋季(70) / 春季(64),飞机+大巴(27) / 高铁+大巴(22) / 空调大巴(18),上海市(14) / 西藏自治区(12) / 宁夏回族自治区(11) / 天津市(10) / 陕西省(10),强烈推荐(152) / 推荐(87),非常满意(152) / 满意(87),,,
苏州虎丘,苏州市,江苏,历史文化,5A,239,4.49,240.24,80.0,4.5,29.29,48.12,冬季(76) / 春季(68),飞机+大巴(28) / 空调大巴(21) / 高铁+大巴(21),甘肃省(12) / 陕西省(12) / 吉林省(11) / 海南省(10) / 广西壮族自治区(10),强烈推荐(133) / 推荐(106),非常满意(133) / 满意(106),苏州旅游攻略,D:\wzb\全部131个景点\苏州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_101.png
鼋头渚,无锡市,江苏,自然风光,5A,239,4.44,267.96,90.0,4.73,32.22,49.37,秋季(66) / 冬季(60),高铁+大巴(35) / 飞机+大巴(21) / 空调大巴(21),江苏省(12) / 西藏自治区(11) / 黑龙江省(11) / 贵州省(10) / 上海市(9),强烈推荐(120) / 推荐(119),非常满意(120) / 满意(119),无锡旅游攻略,D:\wzb\全部131个景点\无锡旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_063.png
福建土楼,龙岩市,福建,历史建筑,5A,239,4.25,267.19,100.0,4.54,32.22,48.54,春季(66) / 冬季(64),飞机+大巴(31) / 高铁+大巴(25) / 空调大巴(21),四川省(13) / 上海市(12) / 西藏自治区(11) / 台湾省(11) / 江西省(10),推荐(172) / 强烈推荐(67),满意(172) / 非常满意(67),,,
大理古城,大理州,云南,古镇风情,4A,239,4.21,178.85,0.0,4.45,32.22,49.79,冬季(74) / 夏季(60),高铁+大巴(33) / 飞机+大巴(23) / 空调大巴(21),天津市(19) / 澳门特别行政区(11) / 内蒙古自治区(11) / 山西省(10) / 台湾省(10),推荐(174) / 强烈推荐(65),满意(174) / 非常满意(65),大理,D:\wzb\全部131个景点\大理.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_038.png
四平战役纪念馆,四平市,吉林,红色旅游,4A,239,4.13,178.04,0.0,4.42,33.47,45.19,夏季(64) / 冬季(63),空调大巴(31) / 高铁+大巴(27) / 飞机+大巴(22),河南省(12) / 台湾省(10) / 广西壮族自治区(10) / 北京市(10) / 辽宁省(10),推荐(200) / 强烈推荐(39),满意(200) / 非常满意(39),,,
